source_ip,destination_ip,protocol,destination_port,packets,status
192.168.1.10,192.168.1.1,TCP,443,120,OK
192.168.1.11,192.168.1.20,TCP,22,85,OK
192.168.1.15,192.168.1.25,TCP,23,90,OK
192.168.1.15,192.168.1.25,TCP,23,95,OK
192.168.1.25,192.168.1.10,TCP,443,150,OK
10.0.0.50,192.168.1.30,TCP,22,70,FAILED
10.0.0.50,192.168.1.30,TCP,22,75,FAILED
10.0.0.50,192.168.1.30,TCP,22,80,FAILED
10.0.0.50,192.168.1.30,TCP,22,85,FAILED
192.168.1.40,192.168.1.50,TCP,445,130,OK
192.168.1.60,192.168.1.70,ICMP,0,900,OK
192.168.1.70,192.168.1.80,TCP,443,110,OK
192.168.1.80,192.168.1.90,TCP,3389,125,OK
192.168.1.90,192.168.1.100,TCP,443,1300,OK
